{'ALG_BC_NB': 2375813, 'ALG_BC_WITH_SHAVING_NB': 119708, 'ALG_SHAVING_NB': 1699098, 'ALG_SHAVING_CHANGE_NB': 557007, 'ALG_SHAVING_NO_CHANGE_NB': 1142091, 'PROPAGATOR_ENTAILMENT_NB': 3733859, 'PROPAGATOR_FILTER_NB': 63857336, 'PROPAGATOR_FILTER_NO_CHANGE_NB': 21381370, 'PROPAGATOR_INCONSISTENCY_NB': 630380, 'SOLVER_BACKTRACK_NB': 1772470, 'SOLVER_CHOICE_NB': 46310, 'SOLVER_CHOICE_DEPTH': 31, 'SOLVER_SOLUTION_NB': 25}
         2171256980 function calls (2171249652 primitive calls) in 2682.249 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
22196/22046    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
    24801    0.001    0.000    0.001    0.000 abstract.py:96(key)
      410    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    460/9    0.001    0.000    0.188    0.021 <frozen importlib._bootstrap>:1349(_find_and_load)
      935    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      820    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2911    0.001    0.000    0.004    0.000 castgraph.py:39(insert)
     5755    0.001    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      851    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      935    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
   371/56    0.001    0.000    0.004    0.000 _compiler.py:37(_compile)
    458/9    0.001    0.000    0.187    0.021 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      512    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      448    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       51    0.001    0.000    0.386    0.008 __init__.py:1(<module>)
      935    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
     4069    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     6836    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3975    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
     4173    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
4257/4173    0.001    0.000    0.007    0.000 {built-in method builtins.hasattr}
   448/11    0.001    0.000    0.187    0.017 <frozen importlib._bootstrap>:911(_load_unlocked)
      178    0.001    0.000    0.003    0.000 templates.py:879(make_overload_template)
3261/3257    0.001    0.000    0.001    0.000 abstract.py:124(__eq__)
     4039    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      935    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1329    0.001    0.000    0.001    0.000 typing.py:1206(__setattr__)
     2830    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     3171    0.001    0.000    0.001    0.000 abstract.py:127(__ne__)
      119    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      447    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2911    0.000    0.000    0.002    0.000 castgraph.py:48(get)
     2927    0.000    0.000    0.001    0.000 castgraph.py:65(__getitem__)
      820    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      410    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
  691/205    0.000    0.000    0.166    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       36    0.000    0.000    0.001    0.000 templates.py:1158(make_overload_attribute_template)
     1230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      373    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
      452    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2528    0.000    0.000    0.001    0.000 _parser.py:168(__getitem__)
      411    0.000    0.000    0.001    0.000 functions.py:245(__init__)
     1622    0.000    0.000    0.001    0.000 typing.py:1152(_is_dunder)
  1095/22    0.000    0.000    0.186    0.008 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      476    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
  532/525    0.000    0.000    0.002    0.000 abstract.py:61(__call__)
   409/11    0.000    0.000    0.187    0.017 <frozen importlib._bootstrap_external>:989(exec_module)
      262    0.000    0.000    0.003    0.000 overrides.py:142(decorator)
  758/386    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      454    0.000    0.000    0.000    0.000 _inspect.py:65(getargs)
     2622    0.000    0.000    0.001    0.000 _parser.py:261(get)
      194    0.000    0.000    0.003    0.000 typing.py:1260(__init__)
  448/442    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 firstlinefinder.py:9(FindDefFirstLine)
