{'ALG_BC_NB': 2375813, 'ALG_BC_WITH_SHAVING_NB': 119708, 'ALG_SHAVING_NB': 1699098, 'ALG_SHAVING_CHANGE_NB': 557007, 'ALG_SHAVING_NO_CHANGE_NB': 1142091, 'PROPAGATOR_ENTAILMENT_NB': 3733859, 'PROPAGATOR_FILTER_NB': 63857336, 'PROPAGATOR_FILTER_NO_CHANGE_NB': 21381370, 'PROPAGATOR_INCONSISTENCY_NB': 630380, 'SOLVER_BACKTRACK_NB': 1772470, 'SOLVER_CHOICE_NB': 46310, 'SOLVER_CHOICE_DEPTH': 31, 'SOLVER_SOLUTION_NB': 25}
         2171256980 function calls (2171249652 primitive calls) in 2682.249 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 builtins.py:141(choose_result_bitwidth)
        1    0.000    0.000    0.004    0.004 shape_base.py:1(<module>)
      194    0.000    0.000    0.000    0.000 {function _TargetRegistry.__getitem__ at 0x102d19ee0}
      102    0.000    0.000    0.000    0.000 typing.py:1311(<genexpr>)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
       86    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       33    0.000    0.000    0.000    0.000 <frozen _collections_abc>:966(clear)
       46    0.000    0.000    0.000    0.000 castgraph.py:62(__iter__)
        1    0.000    0.000    0.004    0.004 codegen.py:1(<module>)
       21    0.000    0.000    0.000    0.000 typing.py:1476(copy_with)
        6    0.000    0.000    0.000    0.000 argparse.py:164(__init__)
       38    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       13    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
       42    0.000    0.000    0.001    0.000 inspect.py:3333(signature)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       42    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 typedlist.py:193(List)
       48    0.000    0.000    0.000    0.000 templates.py:1245(register_attr)
       19    0.000    0.000    0.000    0.000 arrayprint.py:1652(_array_str_implementation)
       34    0.000    0.000    0.000    0.000 {built-in method time.time}
      113    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 targetconfig.py:92(__init__)
        1    0.000    0.000    0.001    0.001 ffi.py:1(<module>)
       83    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
        4    0.000    0.000    0.001    0.000 quicksort.py:27(make_quicksort_impl)
        1    0.000    0.000    0.000    0.000 pickle.py:1129(_Unpickler)
        1    0.000    0.000    0.001    0.001 templates.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
       32    0.000    0.000    0.000    0.000 extending.py:325(__init__)
       79    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
       33    0.000    0.000    0.000    0.000 extending.py:222(overload_method)
        1    0.000    0.000    0.014    0.014 callconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 values.py:84(_ConstOpMixin)
       33    0.000    0.000    0.000    0.000 threading.py:1483(current_thread)
       81    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 dataclasses.py:568(_init_fn)
       38    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.005    0.005 pythonapi.py:1(<module>)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
       65    0.000    0.000    0.000    0.000 typing.py:1079(<genexpr>)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:1(<module>)
        1    0.000    0.000    0.000    0.000 target_extension.py:1(<module>)
       33    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typeref.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bytecode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(_sanity_check)
        1    0.000    0.000    0.016    0.016 cpu.py:1(<module>)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.019    0.019 __config__.py:1(<module>)
        1    0.000    0.000 2682.249 2682.249 <frozen runpy>:201(run_module)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       33    0.000    0.000    0.000    0.000 __init__.py:383(getMessage)
        1    0.000    0.000 2682.059 2682.059 backtrack_solver.py:160(minimize)
       33    0.000    0.000    0.000    0.000 __init__.py:668(usesTime)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 caching.py:1(<module>)
       40    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        1    0.000    0.000    0.008    0.008 loader.py:1(<module>)
       83    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
        1    0.000    0.000    0.002    0.002 resolver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 array_exprs.py:1(<module>)
       37    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       83    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       27    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        3    0.000    0.000    0.050    0.017 decorators.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _linalg.py:493(inv)
       86    0.000    0.000    0.000    0.000 npydecl.py:316(typing_class)
       34    0.000    0.000    0.000    0.000 extending.py:202(_overload_method_common)
        1    0.000    0.000    0.002    0.002 misc.py:1(<module>)
       56    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:1173(Pickler)
        1    0.000    0.000    0.000    0.000 getlimits.py:543(_init)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
       45    0.000    0.000    0.000    0.000 compiler_machinery.py:429(is_registered)
        1    0.000    0.000    0.000    0.000 argparse.py:1764(__init__)
      132    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       45    0.000    0.000    0.000    0.000 compiler_machinery.py:36(__init__)
       39    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
       33    0.000    0.000    0.000    0.000 __init__.py:129(getLevelName)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 instructions.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
        7    0.000    0.000    0.000    0.000 getlimits.py:688(__init__)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
       23    0.000    0.000    0.000    0.000 propagators.py:97(register_propagator)
      103    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        7    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        8    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        4    0.000    0.000    0.000    0.000 function_type.py:132(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 orcjit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gcc_propagator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 object_file.py:1(<module>)
      133    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 ctypes_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nrt.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:747(Optional)
       20    0.000    0.000    0.000    0.000 scalars.py:41(from_bitwidth)
       33    0.000    0.000    0.000    0.000 threading.py:1180(name)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:143(ones)
       97    0.000    0.000    0.000    0.000 registry.py:5(register)
        1    0.000    0.000    0.000    0.000 ir.py:371(Expr)
        1    0.000    0.000    0.024    0.024 config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 interpreter.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        3    0.000    0.000    0.038    0.013 registry.py:1(<module>)
        1    0.000    0.000    0.047    0.047 stencil.py:1(<module>)
       66    0.000    0.000    0.000    0.000 functools.py:845(_is_valid_dispatch_type)
        8    0.000    0.000    0.000    0.000 abstract.py:177(__call__)
        1    0.000    0.000    0.003    0.003 lowering.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       62    0.000    0.000    0.000    0.000 npytypes.py:482(key)
       21    0.000    0.000    0.000    0.000 problem.py:155(<lambda>)
        1    0.000    0.000    0.000    0.000 dufunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.001    0.000 analysis.py:1(<module>)
       22    0.000    0.000    0.000    0.000 targetconfig.py:110(make_prop)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6654(refer_to_array_attribute)
        8    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        6    0.000    0.000    0.000    0.000 argparse.py:1587(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 stencilparfor.py:1(<module>)
       18    0.000    0.000    0.000    0.000 values.py:52(wrap)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        1    0.000    0.000    0.000    0.000 __init__.py:454(_mac_os_check)
       40    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       36    0.000    0.000    0.001    0.000 quicksort.py:257(<lambda>)
        2    0.000    0.000    0.000    0.000 inspect.py:3287(__str__)
        1    0.000    0.000    0.000    0.000 argparse.py:1902(parse_known_args)
       24    0.000    0.000    0.000    0.000 numerictypes.py:589(_scalar_type_key)
       44    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
        8    0.000    0.000    0.000    0.000 compiler_lock.py:31(__call__)
        1    0.000    0.000    0.001    0.001 solver.py:32(__init__)
       37    0.000    0.000    0.000    0.000 argparse.py:1417(register)
        6    0.000    0.000    0.000    0.000 ffi.py:72(__enter__)
        1    0.000    0.000    0.000    0.000 problem.py:26(Problem)
        1    0.000    0.000    0.001    0.001 heuristics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pylowering.py:1(<module>)
        5    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      2/1    0.000    0.000    0.001    0.001 <frozen runpy>:105(_get_module_details)
        1    0.000    0.000    0.004    0.004 npytypes.py:1(<module>)
       32    0.000    0.000    0.000    0.000 extending.py:370(__repr__)
        1    0.000    0.000    0.000    0.000 slicing.py:1(<module>)
       89    0.000    0.000    0.000    0.000 abstract.py:118(__str__)
        7    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        4    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
       45    0.000    0.000    0.000    0.000 abstract.py:195(validate_slice)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:1(<module>)
       40    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       33    0.000    0.000    0.000    0.000 __init__.py:674(formatMessage)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boxing.py:1(<module>)
       18    0.000    0.000    0.000    0.000 builder.py:30(wrap)
        1    0.000    0.000    0.000    0.000 controlflow.py:84(CFGraph)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        9    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        3    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        1    0.000    0.000    0.000    0.000 scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abstract.py:1(<module>)
       68    0.000    0.000    0.000    0.000 imputils.py:28(lower)
        1    0.000    0.000    0.000    0.000 npydecl.py:426(register_number_classes)
       24    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        8    0.000    0.000    0.000    0.000 functools.py:904(wrapper)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 problem.py:103(add_variables)
       42    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
        1    0.000    0.000    0.001    0.001 _char_codes.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1860(__init__)
       39    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:694(polyval)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      116    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 event.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:2131(runtime_checkable)
       52    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 withcontexts.py:1(<module>)
       47    0.000    0.000    0.000    0.000 typeconv.py:63(set_safe_convert)
        1    0.000    0.000    0.000    0.000 __init__.py:2021(basicConfig)
       82    0.000    0.000    0.000    0.000 scalars.py:49(__lt__)
        1    0.000    0.000    0.000    0.000 imputils.py:1(<module>)
        2    0.000    0.000    0.001    0.000 scanner.py:1(<module>)
        1    0.000    0.000    0.005    0.005 overrides.py:1(<module>)
        5    0.000    0.000    0.000    0.000 registry.py:60(__init__)
        1    0.000    0.000    0.000    0.000 polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 intrinsics.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        2    0.000    0.000    0.001    0.001 dataclasses.py:1264(wrap)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
        1    0.000    0.000    0.000    0.000 __init__.py:365(Distribution)
       29    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        2    0.000    0.000    0.002    0.001 readers.py:1(<module>)
      3/1    0.000    0.000    0.000    0.000 arrayprint.py:815(recurser)
       33    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
       43    0.000    0.000    0.000    0.000 typing.py:953(__eq__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 header.py:1(<module>)
        1    0.000    0.000    0.007    0.007 dylib.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:1433(__mro_entries__)
        1    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
       13    0.000    0.000    0.000    0.000 functions.py:680(__init__)
        4    0.000    0.000    0.000    0.000 templates.py:142(__unliteral__)
        6    0.000    0.000    0.000    0.000 argparse.py:605(_format_args)
        1    0.000    0.000    0.007    0.007 message.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dumper.py:1(<module>)
        2    0.000    0.000    0.000    0.000 extending.py:272(make_attribute_wrapper)
        8    0.000    0.000    0.000    0.000 typing.py:2496(overload)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       13    0.000    0.000    0.000    0.000 mixins.py:46(_numeric_methods)
      119    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1585(Polynomial)
        1    0.000    0.000    0.000    0.000 gufunc.py:59(GUFunc)
        1    0.000    0.000    0.001    0.001 serialize.py:1(<module>)
        5    0.000    0.000    0.000    0.000 misc.py:124(__init__)
       16    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 value.py:83(ValueRef)
        1    0.000    0.000    0.000    0.000 npdatetime_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrappers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 alldifferent_propagator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssa.py:1(<module>)
        6    0.000    0.000    0.000    0.000 argparse.py:1507(_add_action)
        6    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 scanner.py:46(Scanner)
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
       11    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       16    0.000    0.000    0.000    0.000 functools.py:89(_gt_from_lt)
        2    0.000    0.000    0.004    0.002 __init__.py:343(__init__)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:67(_DTypeDictBase)
        1    0.000    0.000    0.000    0.000 itanium_mangler.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cyaml.py:1(<module>)
       24    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        4    0.000    0.000    0.000    0.000 scalars.py:46(cast_python_value)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
       17    0.000    0.000    0.000    0.000 element_iv_propagator.py:33(get_triggers_element_iv)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
       25    0.000    0.000    0.000    0.000 constructor.py:159(add_constructor)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:111(<lambda>)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
       75    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        1    0.000    0.000    0.000    0.000 multiprocessing_solver.py:1(<module>)
       29    0.000    0.000    0.000    0.000 overloads.py:39(extract_template)
       11    0.000    0.000    0.000    0.000 registry.py:73(__setitem__)
        1    0.000    0.000    0.000    0.000 controlflow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:153(_ensure_llvm)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:544(_array2string)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        2    0.000    0.000    0.000    0.000 targetconfig.py:125(find_options)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
       12    0.000    0.000    0.000    0.000 types.py:206(__new__)
        1    0.000    0.000    0.000    0.000 backtrack_solver.py:80(BacktrackSolver)
       31    0.000    0.000    0.000    0.000 functools.py:965(__init__)
        1    0.000    0.000    0.000    0.000 builtins.py:285(BitwiseShiftOperation)
        1    0.000    0.000    0.001    0.001 total_cost_propagator.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        9    0.000    0.000    0.000    0.000 inspect.py:2820(__str__)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
       13    0.000    0.000    0.000    0.000 builder.py:159(wrap)
        4    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
       33    0.000    0.000    0.000    0.000 process.py:37(current_process)
        1    0.000    0.000    0.000    0.000 _utils_impl.py:1(<module>)
        5    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 passmanagers.py:107(PassManager)
        2    0.000    0.000    0.000    0.000 inspect.py:2114(_signature_bound_method)
       72    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        4    0.000    0.000    0.001    0.000 quicksort.py:255(make_jit_quicksort)
        4    0.000    0.000    0.000    0.000 containers.py:233(__init__)
       27    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        3    0.000    0.000    0.000    0.000 typing.py:1566(__getitem__)
       17    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_docstring.py:1(<module>)
       13    0.000    0.000    0.000    0.000 dispatcher.py:1327(<genexpr>)
        1    0.000    0.000    0.000    0.000 solver.py:1(<module>)
        1    0.000    0.000    0.001    0.001 llvm_pass_timings.py:1(<module>)
       12    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 compiler.py:188(CompileResult)
       21    0.000    0.000    0.000    0.000 problem.py:133(add_propagator)
       91    0.000    0.000    0.000    0.000 inspect.py:2786(name)
       22    0.000    0.000    0.000    0.000 _type_aliases.py:118(<lambda>)
        9    0.000    0.000    0.000    0.000 values.py:445(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:473(_get_format_function)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1258(__init__)
        4    0.000    0.000    0.000    0.000 npydecl.py:402(_numpy_redirect)
        4    0.000    0.000    0.000    0.000 function_type.py:17(__init__)
       12    0.000    0.000    0.000    0.000 values.py:69(wrap)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       25    0.000    0.000    0.010    0.000 castgraph.py:131(unsafe)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        2    0.000    0.000    0.000    0.000 weakref.py:568(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       11    0.000    0.000    0.000    0.000 inspect.py:1457(formatannotation)
        1    0.000    0.000    0.000    0.000 __init__.py:839(ZipExtFile)
        1    0.000    0.000    0.000    0.000 tracing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:582(array2string)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:94(_localized_month)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:410(__enter__)
       13    0.000    0.000    0.000    0.000 utils.py:485(__setitem__)
        1    0.000    0.000    0.000    0.000 choice_points.py:1(<module>)
       43    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 legendre.py:1620(Legendre)
        1    0.000    0.000    0.000    0.000 type_annotations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 options.py:72(DefaultOptions)
        1    0.000    0.000    0.000    0.000 getlimits.py:487(__new__)
        1    0.000    0.000    0.000    0.000 _linalg.py:43(EigResult)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:539(vander)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lexicographic_leq_propagator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dylib.py:23(load_library_permanently)
       45    0.000    0.000    0.000    0.000 compiler_machinery.py:418(register)
        1    0.000    0.000    0.000    0.000 _expired_attrs_2_0.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:188(_try_enable_svml)
        1    0.000    0.000    0.002    0.002 debuginfo.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.000    0.000 laguerre.py:1675(Laguerre)
       13    0.000    0.000    0.000    0.000 npydecl.py:417(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:60(Sectioned)
       20    0.000    0.000    0.000    0.000 mixins.py:18(_binary_method)
        1    0.000    0.000    0.000    0.000 base.py:27(OverloadSelector)
        1    0.000    0.000    0.000    0.000 shaving_consistency_algorithm.py:1(<module>)
       27    0.000    0.000    0.000    0.000 sigutils.py:4(is_signature)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        1    0.000    0.000    0.000    0.000 __init__.py:1465(_clear_cache)
        1    0.000    0.000    0.000    0.000 hermite.py:1743(Hermite)
        6    0.000    0.000    0.000    0.000 inspect.py:2020(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 builtins.py:41(Abs)
        1    0.000    0.000    0.009    0.009 problem.py:1(<module>)
       32    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
        1    0.000    0.000    0.000    0.000 dufunc.py:164(DUFunc)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        3    0.000    0.000    0.000    0.000 event.py:390(start_event)
        1    0.000    0.000    0.000    0.000 builtins.py:375(UnaryOp)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1651(HermiteE)
        2    0.000    0.000    0.001    0.001 common.py:1(<module>)
       28    0.000    0.000    0.000    0.000 scalars.py:25(parse_integer_signed)
        4    0.000    0.000    0.000    0.000 types.py:77(__call__)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       10    0.000    0.000    0.007    0.001 typeconv.py:103(safe_unsafe)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 pickle.py:401(_Pickler)
        3    0.000    0.000    0.000    0.000 warnings.py:133(filterwarnings)
       41    0.000    0.000    0.000    0.000 overloads.py:18(class_instance_overload)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        2    0.000    0.000    0.000    0.000 options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linalg.py:59(SVDResult)
        1    0.000    0.000    0.000    0.000 callwrapper.py:91(PyCallWrapper)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1066(poly1d)
        1    0.000    0.000    0.000    0.000 platform.py:890(uname)
        1    0.000    0.000    0.000    0.000 cpu.py:35(CPUContext)
        9    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.000    0.000 string.py:1(<module>)
       14    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
        1    0.000    0.000    0.000    0.000 functools.py:732(_compose_mro)
        1    0.000    0.000    0.000    0.000 platform.py:1041(_sys_version)
        7    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 static_getitem.py:1(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        3    0.000    0.000    0.000    0.000 gettext.py:519(translation)
